subject_id,date,trial,direction,speed,deviation_cm,deviation_sec
ie24,2020/07/23 12:05:09,1,left,medium,3.602000000000043,0.6980620155038842
ie24,2020/07/23 12:05:09,2,right,medium,NA,NA
ie24,2020/07/23 12:05:09,3,left,fast,2.9972333333333534,0.4229199002869132
ie24,2020/07/23 12:05:09,4,left,slow,0.5197333333332566,0.1603125642607207
ie24,2020/07/23 12:05:09,5,right,medium,-1.3859999999999735,-0.26860465116278553
ie24,2020/07/23 12:05:09,6,left,slow,-0.777066666666733,-0.23968743573927606
ie24,2020/07/23 12:05:09,7,left,medium,-0.955999999999972,-0.18527131782945194
ie24,2020/07/23 12:05:09,8,left,fast,0.6349000000000125,0.08958656695357874
ie24,2020/07/23 12:05:09,9,left,slow,-0.777066666666733,-0.23968743573927606
ie24,2020/07/23 12:05:09,10,right,fast,1.1073666666666782,0.15625323362024526
ie24,2020/07/23 12:05:09,11,right,slow,-3.586800000000055,-1.1063541024059391
ie24,2020/07/23 12:05:09,12,left,fast,0.16243333333334764,0.022919900286912324
ie24,2020/07/23 12:05:09,13,right,fast,-0.07379999999998521,-0.010413433046420941
ie24,2020/07/23 12:05:09,14,right,slow,-3.1005000000000544,-0.9563541024059391
ie24,2020/07/23 12:05:09,15,left,slow,-2.6142000000000536,-0.8063541024059389
ie24,2020/07/23 12:05:09,16,right,medium,-0.8699999999999717,-0.1686046511627852
ie24,2020/07/23 12:05:09,17,left,slow,-1.64160000000006,-0.5063541024059407
ie24,2020/07/23 12:05:09,18,left,fast,2.524766666666684,0.35625323362024613
ie24,2020/07/23 12:05:09,19,left,medium,-0.8699999999999717,-0.1686046511627852
ie24,2020/07/23 12:05:09,20,right,medium,-0.955999999999972,-0.18527131782945194
ie24,2020/07/23 12:05:09,21,right,fast,0.28055000000001407,0.039586566953578955
ie24,2020/07/23 12:05:09,22,right,medium,0.6780000000000328,0.13139534883721565
ie24,2020/07/23 12:05:09,23,right,slow,-2.1279000000000563,-0.6563541024059396
ie24,2020/07/23 12:05:09,24,left,medium,-2.073999999999976,-0.40193798449611934
ie24,2020/07/23 12:05:09,25,right,medium,-0.8699999999999717,-0.1686046511627852
ie24,2020/07/23 12:05:09,26,left,fast,0.044316666666681215,0.006253233620245692
ie24,2020/07/23 12:05:09,27,left,medium,-1.9879999999999756,-0.3852713178294526
ie24,2020/07/23 12:05:09,28,left,slow,-0.6690000000000671,-0.20635410240594296
ie24,2020/07/23 12:05:09,29,right,fast,-0.6643833333333173,-0.09374676637975411
ie24,2020/07/23 12:05:09,30,left,medium,-2.3319999999999768,-0.4519379844961195
ie24,2020/07/23 12:05:09,31,left,slow,-3.0464666666667206,-0.9396874357392723
ie24,2020/07/23 12:05:09,32,right,fast,1.2254833333333455,0.17291990028691204
ie24,2020/07/23 12:05:09,33,left,fast,-0.7824999999999838,-0.11041343304642075
ie24,2020/07/23 12:05:09,34,left,medium,-0.6119999999999708,-0.11860465116278503
ie24,2020/07/23 12:05:09,35,right,slow,-0.5069000000000683,-0.15635410240594333
ie24,2020/07/23 12:05:09,36,right,fast,2.879116666666686,0.4062532336202464
ie24,2020/07/23 12:05:09,37,left,slow,-2.776300000000054,-0.856354102405939
ie24,2020/07/23 12:05:09,38,right,medium,-1.2139999999999729,-0.2352713178294521
ie24,2020/07/23 12:05:09,39,left,medium,-1.815999999999975,-0.3519379844961192
ie24,2020/07/23 12:05:09,40,right,medium,-1.9019999999999753,-0.3686046511627859
ie24,2020/07/23 12:05:09,41,left,medium,0.2480000000000322,0.048062015503882206
ie24,2020/07/23 12:05:09,42,left,slow,-2.235966666666722,-0.6896874357392727
ie24,2020/07/23 12:05:09,43,right,slow,-3.0464666666667206,-0.9396874357392723
ie24,2020/07/23 12:05:09,44,right,fast,1.1073666666666782,0.15625323362024526
ie24,2020/07/23 12:05:09,45,left,medium,-1.6439999999999744,-0.31860465116278575
ie24,2020/07/23 12:05:09,46,right,slow,-1.9117666666667246,-0.5896874357392735
ie24,2020/07/23 12:05:09,47,right,medium,-2.073999999999976,-0.40193798449611934
ie24,2020/07/23 12:05:09,48,left,fast,0.28055000000001407,0.039586566953578955
ie24,2020/07/23 12:05:09,49,right,slow,-2.452100000000054,-0.7563541024059389
ie24,2020/07/23 12:05:09,50,left,fast,-0.6643833333333173,-0.09374676637975411
ie24,2020/07/23 12:05:09,51,left,slow,-1.9658000000000575,-0.60635410240594
ie24,2020/07/23 12:05:09,52,right,slow,-1.0472333333333976,-0.3230207690726088
ie24,2020/07/23 12:05:09,53,right,fast,-1.8455499999999816,-0.26041343304642045
ie24,2020/07/23 12:05:09,54,left,fast,-1.0187333333333166,-0.143746766379754
ie24,2020/07/23 12:05:09,55,right,fast,-3.144833333333315,-0.4437467663797538
ie24,2020/07/23 12:05:09,56,right,slow,-2.6682333333333874,-0.8230207690726056
ie24,2020/07/23 12:05:09,57,right,fast,-1.373083333333316,-0.1937467663797539
ie24,2020/07/23 12:05:09,58,right,medium,-1.2999999999999732,-0.2519379844961188
ie24,2020/07/23 12:05:09,59,left,fast,-1.0187333333333166,-0.143746766379754
ie24,2020/07/23 12:05:09,60,right,slow,-0.9932000000000647,-0.30635410240594224
