subject_id,date,trial,direction,speed,deviation_cm,deviation_sec
mo23,2020/01/08 18:12:25,1,right,slow,-3.586800000000055,-1.1063541024059391
mo23,2020/01/08 18:12:25,2,right,fast,NA,NA
mo23,2020/01/08 18:12:25,3,left,medium,-2.417999999999977,-0.4686046511627862
mo23,2020/01/08 18:12:25,4,left,slow,NA,NA
mo23,2020/01/08 18:12:25,5,left,medium,-4.395999999999974,-0.851937984496119
mo23,2020/01/08 18:12:25,6,left,fast,1.3436000000000128,0.18958656695357878
mo23,2020/01/08 18:12:25,7,right,fast,NA,NA
mo23,2020/01/08 18:12:25,8,right,medium,2.140000000000038,0.41472868217055
mo23,2020/01/08 18:12:25,9,right,slow,-5.153766666666723,-1.589687435739273
mo23,2020/01/08 18:12:25,10,left,fast,NA,NA
mo23,2020/01/08 18:12:25,11,right,fast,NA,NA
mo23,2020/01/08 18:12:25,12,right,medium,-3.5359999999999756,-0.6852713178294526
mo23,2020/01/08 18:12:25,13,right,slow,-2.344033333333388,-0.7230207690726058
mo23,2020/01/08 18:12:25,14,right,fast,4.060283333333359,0.572919900286914
mo23,2020/01/08 18:12:25,15,left,medium,-0.095999999999969,-0.01860465116278469
mo23,2020/01/08 18:12:25,16,left,fast,1.4617166666666783,0.20625323362024528
mo23,2020/01/08 18:12:25,17,left,slow,0.5737666666665895,0.17697923092738727
mo23,2020/01/08 18:12:25,18,right,medium,1.4520000000000373,0.2813953488372165
mo23,2020/01/08 18:12:25,19,right,fast,3.7059333333333573,0.5229199002869137
mo23,2020/01/08 18:12:25,20,left,medium,0.0760000000000316,0.014728682170548759
mo23,2020/01/08 18:12:25,21,right,medium,1.5380000000000358,0.2980620155038829
mo23,2020/01/08 18:12:25,22,right,slow,-2.344033333333388,-0.7230207690726058
mo23,2020/01/08 18:12:25,23,right,medium,-2.8479999999999768,-0.5519379844961195
mo23,2020/01/08 18:12:25,24,left,slow,-0.8311000000000659,-0.2563541024059426
mo23,2020/01/08 18:12:25,25,left,medium,-0.955999999999972,-0.18527131782945194
mo23,2020/01/08 18:12:25,26,left,fast,-2.4361333333333137,-0.3437467663797536
mo23,2020/01/08 18:12:25,27,left,slow,-2.884366666666721,-0.8896874357392723
mo23,2020/01/08 18:12:25,28,right,slow,-2.7222666666667212,-0.8396874357392724
mo23,2020/01/08 18:12:25,29,right,medium,-2.159999999999976,-0.41860465116278606
mo23,2020/01/08 18:12:25,30,right,slow,-4.019066666666722,-1.2396874357392729
mo23,2020/01/08 18:12:25,31,right,fast,-2.908599999999981,-0.4104134330464204
mo23,2020/01/08 18:12:25,32,left,fast,-2.199899999999981,-0.31041343304642033
mo23,2020/01/08 18:12:25,33,left,medium,-0.6979999999999711,-0.13527131782945176
mo23,2020/01/08 18:12:25,34,right,slow,-1.1553000000000635,-0.35635410240594184
mo23,2020/01/08 18:12:25,35,left,medium,-2.159999999999976,-0.41860465116278606
mo23,2020/01/08 18:12:25,36,left,slow,-2.398066666666721,-0.7396874357392723
mo23,2020/01/08 18:12:25,37,right,slow,-1.8577333333333916,-0.5730207690726069
mo23,2020/01/08 18:12:25,38,right,medium,-0.8699999999999717,-0.1686046511627852
mo23,2020/01/08 18:12:25,39,left,medium,-3.6219999999999755,-0.7019379844961192
mo23,2020/01/08 18:12:25,40,left,fast,-1.2549666666666495,-0.17708009971308727
mo23,2020/01/08 18:12:25,41,right,medium,-1.3859999999999735,-0.26860465116278553
mo23,2020/01/08 18:12:25,42,left,slow,-1.8577333333333916,-0.5730207690726069
mo23,2020/01/08 18:12:25,43,left,fast,-1.4911999999999823,-0.21041343304642054
mo23,2020/01/08 18:12:25,44,right,fast,1.3436000000000128,0.18958656695357878
mo23,2020/01/08 18:12:25,45,right,medium,-1.9019999999999753,-0.3686046511627859
mo23,2020/01/08 18:12:25,46,left,fast,1.5798333333333456,0.22291990028691205
mo23,2020/01/08 18:12:25,47,right,slow,-3.8029333333333883,-1.173020769072606
mo23,2020/01/08 18:12:25,48,left,medium,-0.955999999999972,-0.18527131782945194
mo23,2020/01/08 18:12:25,49,left,slow,-0.3448000000000695,-0.1063541024059437
mo23,2020/01/08 18:12:25,50,right,fast,-0.5462666666666509,-0.07708009971308748
mo23,2020/01/08 18:12:25,51,right,medium,-2.3319999999999768,-0.4519379844961195
mo23,2020/01/08 18:12:25,52,left,slow,-3.586800000000055,-1.1063541024059391
mo23,2020/01/08 18:12:25,53,right,fast,1.2254833333333455,0.17291990028691204
mo23,2020/01/08 18:12:25,54,right,slow,-1.9117666666667246,-0.5896874357392735
mo23,2020/01/08 18:12:25,55,left,slow,-0.3448000000000695,-0.1063541024059437
mo23,2020/01/08 18:12:25,56,right,fast,2.406650000000017,0.33958656695357936
mo23,2020/01/08 18:12:25,57,left,slow,-0.6690000000000671,-0.20635410240594296
mo23,2020/01/08 18:12:25,58,left,fast,2.170416666666682,0.30625323362024587
mo23,2020/01/08 18:12:25,59,left,medium,-0.7839999999999714,-0.15193798449611848
mo23,2020/01/08 18:12:25,60,left,fast,5.005216666666698,0.706253233620248
