"","subject_id","direction","speed","mean_dev_sc"
"1","ae01","left","fast",-0.00708009971308759
"2","ae01","left","medium",0.023062015503882
"3","ae01","left","slow",-0.0263541024059444
"4","ae01","right","fast",-0.197080099713087
"5","ae01","right","medium",-0.108604651162785
"6","ae01","right","slow",0.136979230927388
"7","ae02","left","fast",0.296253233620246
"8","ae02","left","medium",NA
"9","ae02","left","slow",0.78864589759405
"10","ae02","right","fast",NA
"11","ae02","right","medium",NA
"12","ae02","right","slow",0.680312564260717
"13","ae03","left","fast",0.156253233620246
"14","ae03","left","medium",0.161395348837216
"15","ae03","left","slow",0.211979230927387
"16","ae03","right","fast",NA
"17","ae03","right","medium",NA
"18","ae03","right","slow",NA
"19","ae04","left","fast",NA
"20","ae04","left","medium",NA
"21","ae04","left","slow",0.73364589759405
"22","ae04","right","fast",NA
"23","ae04","right","medium",NA
"24","ae04","right","slow",0.501979230927385
"25","ae05","left","fast",0.056253233620246
"26","ae05","left","medium",0.0663953488372155
"27","ae05","left","slow",0.0619792309273883
"28","ae05","right","fast",0.15458656695358
"29","ae05","right","medium",0.214728682170549
"30","ae05","right","slow",0.0686458975940551
"31","ae06","left","fast",-0.235413433046421
"32","ae06","left","medium",-0.125271317829452
"33","ae06","left","slow",-0.258020769072609
"34","ae06","right","fast",-0.235413433046421
"35","ae06","right","medium",-0.0669379844961182
"36","ae06","right","slow",-0.311354102405942
"37","ae07","left","fast",-0.0554134330464208
"38","ae07","left","medium",-0.00527131782945131
"39","ae07","left","slow",0.333645897594053
"40","ae07","right","fast",-0.0454134330464209
"41","ae07","right","medium",0.0880620155038823
"42","ae07","right","slow",0.368645897594053
"43","ae08","left","fast",0.181253233620246
"44","ae08","left","medium",-0.011937984496118
"45","ae08","left","slow",-0.0563541024059441
"46","ae08","right","fast",0.0812532336202457
"47","ae08","right","medium",-0.021937984496118
"48","ae08","right","slow",-0.0530207690726108
"49","ae09","left","fast",0.30458656695358
"50","ae09","left","medium",0.468062015503883
"51","ae09","left","slow",NA
"52","ae09","right","fast",NA
"53","ae09","right","medium",0.29972868217055
"54","ae09","right","slow",0.586979230927385
"55","ae10","left","fast",NA
"56","ae10","left","medium",NA
"57","ae10","left","slow",0.430312564260719
"58","ae10","right","fast",NA
"59","ae10","right","medium",NA
"60","ae10","right","slow",0.453645897594052
"61","ae11","left","fast",0.241253233620246
"62","ae11","left","medium",NA
"63","ae11","left","slow",0.145312564260721
"64","ae11","right","fast",0.37458656695358
"65","ae11","right","medium",0.168062015503883
"66","ae11","right","slow",0.116979230927388
"67","ae12","left","fast",0.28958656695358
"68","ae12","left","medium",0.271395348837216
"69","ae12","left","slow",0.126979230927388
"70","ae12","right","fast",NA
"71","ae12","right","medium",0.193062015503883
"72","ae12","right","slow",-0.254687435739276
"73","ae13","left","fast",0.311253233620246
"74","ae13","left","medium",0.313062015503883
"75","ae13","left","slow",0.273645897594053
"76","ae13","right","fast",0.326253233620246
"77","ae13","right","medium",0.214728682170549
"78","ae13","right","slow",0.190312564260721
"79","ae14","left","fast",0.21958656695358
"80","ae14","left","medium",0.189728682170549
"81","ae14","left","slow",-0.0963541024059438
"82","ae14","right","fast",0.116253233620246
"83","ae14","right","medium",0.0563953488372155
"84","ae14","right","slow",-0.0146874357392778
"85","ae15","left","fast",-0.272080099713087
"86","ae15","left","medium",-0.321937984496119
"87","ae15","left","slow",-0.65635410240594
"88","ae15","right","fast",-0.352080099713087
"89","ae15","right","medium",NA
"90","ae15","right","slow",-0.798020769072606
"91","ae16","left","fast",0.187919900286913
"92","ae16","left","medium",0.144728682170549
"93","ae16","left","slow",0.175312564260721
"94","ae16","right","fast",0.0712532336202456
"95","ae16","right","medium",0.138062015503882
"96","ae16","right","slow",0.115312564260721
"97","ae17","left","fast",NA
"98","ae17","left","medium",NA
"99","ae17","left","slow",0.238645897594054
"100","ae17","right","fast",0.48458656695358
"101","ae17","right","medium",NA
"102","ae17","right","slow",0.355312564260719
"103","ae18","left","fast",NA
"104","ae18","left","medium",0.0580620155038823
"105","ae18","left","slow",0.058645897594055
"106","ae18","right","fast",NA
"107","ae18","right","medium",NA
"108","ae18","right","slow",-0.11802076907261
"109","ae19","left","fast",NA
"110","ae19","left","medium",NA
"111","ae19","left","slow",0.603645897594051
"112","ae19","right","fast",0.312919900286913
"113","ae19","right","medium",NA
"114","ae19","right","slow",0.83364589759405
"115","ae20","left","fast",-0.383746766379754
"116","ae20","left","medium",-0.0886046511627849
"117","ae20","left","slow",-0.299687435739276
"118","ae20","right","fast",-0.195413433046421
"119","ae20","right","medium",-0.205271317829452
"120","ae20","right","slow",-0.114687435739277
"121","ae21","left","fast",0.197919900286913
"122","ae21","left","medium",0.00972868217054878
"123","ae21","left","slow",-0.294687435739276
"124","ae21","right","fast",NA
"125","ae21","right","medium",-0.0552713178294515
"126","ae21","right","slow",-0.0863541024059441
"127","ae22","left","fast",NA
"128","ae22","left","medium",NA
"129","ae22","left","slow",0.500312564260719
"130","ae22","right","fast",NA
"131","ae22","right","medium",0.594728682170551
"132","ae22","right","slow",0.641979230927384
"133","ae23","left","fast",-0.205413433046421
"134","ae23","left","medium",-0.0802713178294515
"135","ae23","left","slow",-0.146354102405943
"136","ae23","right","fast",0.0845865669535791
"137","ae23","right","medium",-0.021937984496118
"138","ae23","right","slow",0.091979230927388
"139","ae24","left","fast",-0.198746766379754
"140","ae24","left","medium",-0.191937984496118
"141","ae24","left","slow",-0.439687435739275
"142","ae24","right","fast",-0.30541343304642
"143","ae24","right","medium",-0.365271317829452
"144","ae24","right","slow",-0.503020769072608
"145","ae25","left","fast",-0.235413433046421
"146","ae25","left","medium",0.351395348837217
"147","ae25","left","slow",0.278645897594053
"148","ae25","right","fast",-0.0420800997130873
"149","ae25","right","medium",0.0197286821705487
"150","ae25","right","slow",0.26531256426072
"151","ae26","left","fast",0.209586566953579
"152","ae26","left","medium",0.311395348837216
"153","ae26","left","slow",0.403645897594053
"154","ae26","right","fast",0.209586566953579
"155","ae26","right","medium",NA
"156","ae26","right","slow",-0.0913541024059441
"157","ae27","left","fast",0.397919900286913
"158","ae27","left","medium",NA
"159","ae27","left","slow",0.161979230927388
"160","ae27","right","fast",NA
"161","ae27","right","medium",0.391395348837217
"162","ae27","right","slow",0.383645897594053
"163","ae28","left","fast",0.211253233620246
"164","ae28","left","medium",NA
"165","ae28","left","slow",0.390312564260719
"166","ae28","right","fast",NA
"167","ae28","right","medium",NA
"168","ae28","right","slow",0.560312564260718
"169","ae29","left","fast",0.172919900286913
"170","ae29","left","medium",NA
"171","ae29","left","slow",0.566979230927385
"172","ae29","right","fast",0.269586566953579
"173","ae29","right","medium",NA
"174","ae29","right","slow",0.786979230927383
"175","ae30","left","fast",-0.138746766379754
"176","ae30","left","medium",-0.135271317829452
"177","ae30","left","slow",0.0303125642607219
"178","ae30","right","fast",NA
"179","ae30","right","medium",0.171395348837216
"180","ae30","right","slow",-0.16802076907261
"181","ae31","left","fast",NA
"182","ae31","left","medium",0.288062015503883
"183","ae31","left","slow",-0.0146874357392777
"184","ae31","right","fast",NA
"185","ae31","right","medium",0.30972868217055
"186","ae31","right","slow",0.183645897594054
"187","ae32","left","fast",NA
"188","ae32","left","medium",0.43472868217055
"189","ae32","left","slow",0.516979230927385
"190","ae32","right","fast",0.249586566953579
"191","ae32","right","medium",0.313062015503883
"192","ae32","right","slow",NA
"193","am01","left","fast",0.346253233620246
"194","am01","left","medium",NA
"195","am01","left","slow",NA
"196","am01","right","fast",NA
"197","am01","right","medium",NA
"198","am01","right","slow",0.943645897594049
"199","am02","left","fast",0.0945865669535794
"200","am02","left","medium",NA
"201","am02","left","slow",-0.123020769072611
"202","am02","right","fast",NA
"203","am02","right","medium",-0.220271317829452
"204","am02","right","slow",0.103645897594055
"205","am03","left","fast",-0.168746766379754
"206","am03","left","medium",-0.100271317829451
"207","am03","left","slow",-0.313020769072609
"208","am03","right","fast",-0.00874676637975405
"209","am03","right","medium",-0.213604651162785
"210","am03","right","slow",-0.139687435739277
"211","am04","left","fast",0.236253233620246
"212","am04","left","medium",0.089728682170549
"213","am04","left","slow",0.0686458975940549
"214","am04","right","fast",0.124586566953579
"215","am04","right","medium",NA
"216","am04","right","slow",0.115312564260721
"217","am05","left","fast",NA
"218","am05","left","medium",NA
"219","am05","left","slow",0.795312564260717
"220","am05","right","fast",0.45958656695358
"221","am05","right","medium",NA
"222","am05","right","slow",NA
"223","am06","left","fast",NA
"224","am06","left","medium",NA
"225","am06","left","slow",-0.139687435739277
"226","am06","right","fast",NA
"227","am06","right","medium",-0.0652713178294511
"228","am06","right","slow",-0.30802076907261
"229","am07","left","fast",0.272919900286913
"230","am07","left","medium",NA
"231","am07","left","slow",0.455312564260719
"232","am07","right","fast",0.361253233620246
"233","am07","right","medium",NA
"234","am07","right","slow",0.0719792309273882
"235","am08","left","fast",NA
"236","am08","left","medium",NA
"237","am08","left","slow",-0.778020769072607
"238","am08","right","fast",NA
"239","am08","right","medium",NA
"240","am08","right","slow",-0.863020769072606
"241","am09","left","fast",NA
"242","am09","left","medium",NA
"243","am09","left","slow",NA
"244","am09","right","fast",NA
"245","am09","right","medium",NA
"246","am09","right","slow",NA
"247","am10","left","fast",-0.0287467663797542
"248","am10","left","medium",-0.163604651162785
"249","am10","left","slow",-0.0446874357392775
"250","am10","right","fast",-0.0104134330464209
"251","am10","right","medium",0.0197286821705487
"252","am10","right","slow",-0.278020769072609
"253","am11","left","fast",NA
"254","am11","left","medium",0.094728682170549
"255","am11","left","slow",-0.0380207690726109
"256","am11","right","fast",0.177919900286913
"257","am11","right","medium",0.131395348837216
"258","am11","right","slow",NA
"259","am12","left","fast",-0.198746766379754
"260","am12","left","medium",-0.0852713178294516
"261","am12","left","slow",-0.808020769072607
"262","am12","right","fast",NA
"263","am12","right","medium",-0.145271317829452
"264","am12","right","slow",-0.591354102405941
"265","am13","left","fast",NA
"266","am13","left","medium",NA
"267","am13","left","slow",0.431979230927386
"268","am13","right","fast",0.28958656695358
"269","am13","right","medium",NA
"270","am13","right","slow",-0.0996874357392771
"271","am14","left","fast",NA
"272","am14","left","medium",0.43472868217055
"273","am14","left","slow",NA
"274","am14","right","fast",NA
"275","am14","right","medium",NA
"276","am14","right","slow",0.205312564260721
"277","am15","left","fast",-0.0454134330464207
"278","am15","left","medium",-0.0386046511627848
"279","am15","left","slow",-0.331354102405942
"280","am15","right","fast",-0.0470800997130871
"281","am15","right","medium",-0.0552713178294514
"282","am15","right","slow",-0.334687435739275
"283","am16","left","fast",0.079586566953579
"284","am16","left","medium",-0.0486046511627848
"285","am16","left","slow",-0.0663541024059441
"286","am16","right","fast",-0.122080099713087
"287","am16","right","medium",-0.266937984496119
"288","am16","right","slow",-0.181354102405943
"289","am17","left","fast",NA
"290","am17","left","medium",NA
"291","am17","left","slow",NA
"292","am17","right","fast",0.201253233620246
"293","am17","right","medium",0.341395348837217
"294","am17","right","slow",0.510312564260718
"295","am18","left","fast",NA
"296","am18","left","medium",NA
"297","am18","left","slow",0.390312564260719
"298","am18","right","fast",NA
"299","am18","right","medium",NA
"300","am18","right","slow",0.716979230927384
"301","am19","left","fast",-0.21541343304642
"302","am19","left","medium",-0.0969379844961182
"303","am19","left","slow",0.346979230927386
"304","am19","right","fast",-0.0570800997130873
"305","am19","right","medium",0.149728682170549
"306","am19","right","slow",0.228645897594054
"307","am20","left","fast",NA
"308","am20","left","medium",NA
"309","am20","left","slow",NA
"310","am20","right","fast",NA
"311","am20","right","medium",NA
"312","am20","right","slow",0.27531256426072
"313","am21","left","fast",0.159586566953579
"314","am21","left","medium",-0.0352713178294514
"315","am21","left","slow",-0.399687435739275
"316","am21","right","fast",0.149586566953579
"317","am21","right","medium",0.00972868217054875
"318","am21","right","slow",-0.121354102405944
"319","am22","left","fast",0.0629199002869125
"320","am22","left","medium",0.0313953488372155
"321","am22","left","slow",0.770312564260717
"322","am22","right","fast",0.181253233620246
"323","am22","right","medium",0.483062015503884
"324","am22","right","slow",NA
"325","am23","left","fast",NA
"326","am23","left","medium",NA
"327","am23","left","slow",0.410312564260719
"328","am23","right","fast",0.346253233620246
"329","am23","right","medium",0.231395348837216
"330","am23","right","slow",0.0669792309273884
"331","am24","left","fast",NA
"332","am24","left","medium",NA
"333","am24","left","slow",-0.0996874357392774
"334","am24","right","fast",NA
"335","am24","right","medium",0.428062015503883
"336","am24","right","slow",NA
"337","am25","left","fast",0.109586566953579
"338","am25","left","medium",0.084728682170549
"339","am25","left","slow",-0.161354102405943
"340","am25","right","fast",0.019586566953579
"341","am25","right","medium",0.0163953488372154
"342","am25","right","slow",-0.111354102405944
"343","am26","left","fast",-0.068746766379754
"344","am26","left","medium",-0.205271317829452
"345","am26","left","slow",-0.11802076907261
"346","am26","right","fast",0.0179199002869126
"347","am26","right","medium",-0.0502713178294515
"348","am26","right","slow",-0.429687435739275
"349","am27","left","fast",0.0829199002869126
"350","am27","left","medium",-0.236937984496119
"351","am27","left","slow",-0.369687435739275
"352","am27","right","fast",0.0929199002869127
"353","am27","right","medium",-0.181937984496119
"354","am27","right","slow",-0.593020769072607
"355","am28","left","fast",0.109586566953579
"356","am28","left","medium",0.163062015503883
"357","am28","left","slow",0.351979230927386
"358","am28","right","fast",-0.118746766379754
"359","am28","right","medium",0.0647286821705489
"360","am28","right","slow",-0.028020769072611
"361","am29","left","fast",-0.00708009971308758
"362","am29","left","medium",0.111395348837216
"363","am29","left","slow",0.445312564260719
"364","am29","right","fast",-0.0504134330464207
"365","am29","right","medium",0.0330620155038821
"366","am29","right","slow",0.453645897594052
"367","am30","left","fast",-0.260413433046421
"368","am30","left","medium",0.0513953488372155
"369","am30","left","slow",-0.503020769072608
"370","am30","right","fast",-0.0154134330464204
"371","am30","right","medium",NA
"372","am30","right","slow",-0.364687435739276
"373","am31","left","fast",0.132919900286913
"374","am31","left","medium",0.371395348837217
"375","am31","left","slow",0.22531256426072
"376","am31","right","fast",0.0579199002869125
"377","am31","right","medium",0.25972868217055
"378","am31","right","slow",0.0886458975940548
"379","am32","left","fast",NA
"380","am32","left","medium",NA
"381","am32","left","slow",0.363645897594053
"382","am32","right","fast",NA
"383","am32","right","medium",NA
"384","am32","right","slow",-0.21802076907261
"385","ie01","left","fast",NA
"386","ie01","left","medium",NA
"387","ie01","left","slow",0.721979230927384
"388","ie01","right","fast",NA
"389","ie01","right","medium",NA
"390","ie01","right","slow",0.585312564260718
"391","ie02","left","fast",NA
"392","ie02","left","medium",0.263062015503883
"393","ie02","left","slow",0.353645897594053
"394","ie02","right","fast",NA
"395","ie02","right","medium",NA
"396","ie02","right","slow",0.373645897594053
"397","ie03","left","fast",0.244586566953579
"398","ie03","left","medium",-0.00193798449611799
"399","ie03","left","slow",0.311979230927387
"400","ie03","right","fast",-0.0620800997130875
"401","ie03","right","medium",0.121395348837216
"402","ie03","right","slow",0.0186458975940554
"403","ie04","left","fast",0.0995865669535793
"404","ie04","left","medium",0.108062015503882
"405","ie04","left","slow",0.053645897594055
"406","ie04","right","fast",-0.0237467663797542
"407","ie04","right","medium",0.0780620155038823
"408","ie04","right","slow",-0.0596874357392774
"409","ie05","left","fast",-0.0354134330464206
"410","ie05","left","medium",0.121395348837216
"411","ie05","left","slow",-0.20302076907261
"412","ie05","right","fast",-0.0537467663797542
"413","ie05","right","medium",0.00306201550388212
"414","ie05","right","slow",-0.186354102405943
"415","ie06","left","fast",0.0429199002869123
"416","ie06","left","medium",0.41972868217055
"417","ie06","left","slow",0.570312564260718
"418","ie06","right","fast",0.109586566953579
"419","ie06","right","medium",0.169728682170549
"420","ie06","right","slow",0.455312564260719
"421","ie07","left","fast",-0.0487467663797538
"422","ie07","left","medium",-0.153604651162785
"423","ie07","left","slow",0.128645897594055
"424","ie07","right","fast",NA
"425","ie07","right","medium",-0.230271317829452
"426","ie07","right","slow",0.0436458975940552
"427","ie08","left","fast",0.0162532336202457
"428","ie08","left","medium",0.143062015503882
"429","ie08","left","slow",0.153645897594054
"430","ie08","right","fast",-0.0670800997130873
"431","ie08","right","medium",-0.0152713178294513
"432","ie08","right","slow",0.0619792309273884
"433","ie09","left","fast",NA
"434","ie09","left","medium",0.079728682170549
"435","ie09","left","slow",-0.319687435739276
"436","ie09","right","fast",NA
"437","ie09","right","medium",-0.0919379844961183
"438","ie09","right","slow",-0.314687435739276
"439","ie10","left","fast",NA
"440","ie10","left","medium",0.689728682170551
"441","ie10","left","slow",0.75864589759405
"442","ie10","right","fast",0.40458656695358
