"","participant","trial","bin","AVERAGE_IA_0_SAMPLE_COUNT","AVERAGE_IA_0_SAMPLE_COUNT_%","target_count","target_prop","AVERAGE_IA_2_SAMPLE_COUNT","AVERAGE_IA_2_SAMPLE_COUNT_%","IA_1_ID","IA_2_ID","IA_0_ID","ACCURACY","RT","cond","distractor","sentence_id","lex_freq","phonot_freq","sentence","offset_prev_word","onset_v1","onset_c2","onset_c3","onset_v2","offset_target","endSentence","target","version","group","bin_adj"
"1","aes01",89,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2003,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"aes",107
"2","aes03",43,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2043,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"aes",107
"3","aes05",41,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2113,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"aes",107
"4","aes07",86,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2385,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"aes",107
"5","aes09",17,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,3229,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"aes",107
"6","aes11",32,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2374,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"aes",107
"7","aes13",100,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2355,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"aes",107
"8","aes15",89,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,3393,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"aes",107
"9","aes17",24,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2167,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"aes",107
"10","aes19",65,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2092,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"aes",107
"11","aes21",66,127,8,0.8,0,0,2,0.2,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2206,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"aes",107
"12","ams01",65,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2633,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"ams",107
"13","ams03",69,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2540,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ams",107
"14","ams05",20,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,3025,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"ams",107
"15","ams07",21,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2252,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ams",107
"16","ams09",71,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2421,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"ams",107
"17","ams11",7,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2507,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ams",107
"18","ams13",74,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2546,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"ams",107
"19","ams15",15,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2623,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ams",107
"20","ams17",25,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2398,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"ams",107
"21","ams19",34,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2363,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ams",107
"22","ies01",58,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2188,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"ies",107
"23","ies03",37,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2062,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ies",107
"24","ies05",6,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2341,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"ies",107
"25","ies07",40,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2485,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ies",107
"26","ies09",51,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2264,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"ies",107
"27","ies11",74,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2322,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ies",107
"28","ims01",80,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2320,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ims",107
"29","ims03",42,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2018,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ims",107
"30","ims05",38,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2635,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ims",107
"31","ims07",39,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2468,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"ims",107
"32","ims09",96,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2135,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ims",107
"33","ims11",68,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2127,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"ims",107
"34","ims13",51,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2736,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"ims",107
"35","mon01",70,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2492,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"mon",107
"36","mon03",20,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2370,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"mon",107
"37","mon05",65,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2173,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"mon",107
"38","mon07",29,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2284,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"mon",107
"39","mon09",51,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2171,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"mon",107
"40","mon11",90,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2257,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"mon",107
"41","mon13",12,127,10,1,0,0,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2195,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"mon",107
"42","mon15",64,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2392,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"mon",107
"43","mon17",78,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2210,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"mon",107
"44","mon19",100,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2614,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"mon",107
"45","mon21",63,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2089,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"mon",107
"46","mon23",52,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2095,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"mon",107
"47","mon25",61,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2023,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"mon",107
"48","mon27",6,127,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2404,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",3,"mon",107
"49","mon29",48,127,0,0,0,0,10,1,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2010,1,"cortÃ³","S01_C1",5696,1.3503,"El agente corta los materiales",743,865,965,1072,1087,1154,2297,"corta",1,"mon",107
"50","aes02",98,129,0,0,0,0,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2849,2,"cortÃ³","S01_C2",1427,1.2971,"El agente cortÃ³ los materiales",750,852,934,1093,1102,1214,2367,"corta",4,"aes",109
"51","aes04",47,129,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2306,2,"corta","S01_C2",1427,1.2971,"El agente cortÃ³ los materiales",750,852,934,1093,1102,1214,2367,"cortÃ³",2,"aes",109
"52","aes06",64,129,0,0,10,1,0,0,"1: IA_TARGET","2: IA_DISTRACTOR","0: NULL",1,2469,2,"cortÃ³","S01_C2",1427,1.2971,"El agente cortÃ³ los materiales",750,852,934,1093,1102,1214,2367,"corta",4,"aes",109
