"","participant","base_note","direction","rt"
"1","aes01","DO","down",0.489583333333333
"2","aes02","DO","down",0.660416666666667
"3","aes03","DO","down",0.69375
"4","aes04","DO","down",0.775
"5","aes05","DO","down",0.441666666666667
"6","aes06","DO","down",0.43125
"7","aes07","DO","down",0.611904761904762
"8","aes08","DO","down",0.454166666666667
"9","aes09","DO","down",0.53125
"10","aes10","DO","down",0.560416666666667
"11","aes11","DO","down",0.614583333333333
"12","aes12","DO","down",1.25714285714286
"13","aes13","DO","down",0.985416666666667
"14","aes14","DO","down",0.452083333333333
"15","aes15","DO","down",1.74583333333333
"16","aes16","DO","down",0.41875
"17","aes17","DO","down",0.404166666666667
"18","aes18","DO","down",0.425
"19","aes19","DO","down",0.552083333333333
"20","aes20","DO","down",0.535416666666667
"21","aes21","DO","down",0.5875
"22","aes22","DO","down",0.58125
"23","aes23","DO","down",0.404166666666667
"24","aes24","DO","down",0.783333333333333
"25","aes25","DO","down",0.495833333333333
"26","aes26","DO","down",0.489583333333333
"27","aes27","DO","down",1.26875
"28","aes28","DO","down",0.4125
"29","aes29","DO","down",0.460416666666667
"30","aes30","DO","down",0.3
"31","aes31","DO","down",0.595833333333333
"32","aes32","DO","down",0.776190476190476
"33","ams01","DO","down",0.452083333333333
"34","ams02","DO","down",0.952083333333333
"35","ams03","DO","down",0.470833333333333
"36","ams04","DO","down",0.489583333333333
"37","ams05","DO","down",1.34285714285714
"38","ams06","DO","down",0.520833333333333
"39","ams07","DO","down",0.527083333333333
"40","ams08","DO","down",0.833333333333333
"41","ams09","DO","down",1.14047619047619
"42","ams10","DO","down",0.8
"43","ams11","DO","down",1.08958333333333
"44","ams12","DO","down",0.56875
"45","ams13","DO","down",0.391666666666667
"46","ams14","DO","down",0.614583333333333
"47","ams15","DO","down",0.560416666666667
"48","ams16","DO","down",0.4375
"49","ams17","DO","down",0.40625
"50","ams18","DO","down",0.633333333333333
"51","ams19","DO","down",0.60625
"52","ams20","DO","down",0.808333333333333
"53","ams21","DO","down",0.48125
"54","ams22","DO","down",0.36875
"55","ams23","DO","down",0.722916666666667
"56","ams24","DO","down",0.716666666666667
"57","ams25","DO","down",0.45
"58","ams26","DO","down",0.85625
"59","ams27","DO","down",0.45
"60","ams28","DO","down",0.89375
"61","ams29","DO","down",0.470833333333333
"62","ams30","DO","down",0.90625
"63","ams31","DO","down",0.99375
"64","ams32","DO","down",0.954166666666667
"65","ies01","DO","down",0.4
"66","ies02","DO","down",0.745238095238095
"67","ies03","DO","down",0.4375
"68","ies04","DO","down",0.845833333333333
"69","ies05","DO","down",0.389583333333333
"70","ies06","DO","down",0.364583333333333
"71","ies07","DO","down",0.5
"72","ies08","DO","down",0.483333333333333
"73","ies09","DO","down",0.427083333333333
"74","ies10","DO","down",0.654166666666667
"75","ies11","DO","down",0.525
"76","ies12","DO","down",0.641666666666667
"77","ies13","DO","down",0.6375
"78","ies14","DO","down",0.785416666666667
"79","ies15","DO","down",0.689583333333333
"80","ies16","DO","down",0.675
"81","ies17","DO","down",0.654166666666667
"82","ies18","DO","down",0.560416666666667
"83","ies19","DO","down",0.4
"84","ies20","DO","down",0.814583333333333
"85","ies21","DO","down",0.46875
"86","ies22","DO","down",0.791666666666667
"87","ies23","DO","down",0.458333333333333
"88","ies24","DO","down",1.18958333333333
"89","ies25","DO","down",0.36875
"90","ies26","DO","down",0.502083333333333
"91","ies27","DO","down",0.489583333333333
"92","ies28","DO","down",1.18333333333333
"93","ies29","DO","down",0.8
"94","ies30","DO","down",0.495833333333333
"95","ies31","DO","down",0.797916666666667
"96","ies32","DO","down",0.833333333333333
"97","ies33","DO","down",0.416666666666667
"98","ims01","DO","down",0.728571428571429
"99","ims02","DO","down",1.0375
"100","ims03","DO","down",0.433333333375
"101","ims04","DO","down",0.472916666666667
"102","ims05","DO","down",0.458333333333333
"103","ims06","DO","down",0.847916666666667
"104","ims07","DO","down",0.902083333333333
"105","ims08","DO","down",1.4952380952381
"106","ims09","DO","down",0.608333333333333
"107","ims10","DO","down",0.766666666666667
"108","ims11","DO","down",0.872916666666667
"109","ims12","DO","down",0.98125
"110","ims13","DO","down",1.02222222222222
"111","ims14","DO","down",0.835416666666667
"112","ims15","DO","down",0.797916666666667
"113","ims16","DO","down",0.622916666666667
"114","ims17","DO","down",0.8625
"115","ims18","DO","down",1.04375
"116","ims19","DO","down",0.578571428571429
"117","ims20","DO","down",0.875
"118","ims21","DO","down",0.477083333333333
"119","ims22","DO","down",0.722916666666667
"120","ims23","DO","down",0.424999999875
"121","ims24","DO","down",0.985714285714286
"122","ims25","DO","down",0.545833333333333
"123","ims26","DO","down",0.791666666666667
"124","ims27","DO","down",1.14583333333333
"125","ims28","DO","down",0.860416666666667
"126","ims29","DO","down",0.620833333333333
"127","ims30","DO","down",0.741666666666667
"128","ims31","DO","down",0.558333333333333
"129","ims32","DO","down",0.710416666666667
"130","mon01","DO","down",1.06458333333333
"131","mon02","DO","down",0.564583333333333
"132","mon03","DO","down",0.525
"133","mon04","DO","down",0.65625
"134","mon05","DO","down",NA
"135","mon06","DO","down",0.266666666666667
"136","mon07","DO","down",0.6875
"137","mon08","DO","down",0.547619047619048
"138","mon09","DO","down",0.772916666666667
"139","mon10","DO","down",0.54375
"140","mon11","DO","down",0.5625
"141","mon12","DO","down",0.98125
"142","mon13","DO","down",0.552083333333333
"143","mon14","DO","down",0.5875
"144","mon15","DO","down",0.310416666666667
"145","mon16","DO","down",0.385416666666667
"146","mon17","DO","down",0.510416666666667
