"","subject_id","spondee","stressed_spondee","trochee","unpredictable"
"1","ae01",0.0233333333333333,0.0133333333333333,0.0183333333333333,0.0958333333333333
"2","ae02",0.00999999999999999,-0.00500000000000001,NA,NA
"3","ae03",0.118333333333333,0.04,0.061,0.183333333333333
"4","ae04",0.0183333333333333,0.045,-0.012,0.08
"5","ae05",0.00166666666666666,-0.07,-0.271666666666667,-0.205833333333333
"6","ae06",0.0183333333333333,0,-0.266,NA
"7","ae07",0.0216666666666667,-0.0433333333333333,-0.0273333333333333,NA
"8","ae08",-0.198333333333333,-0.203333333333333,-0.305,0.0233333333333334
"9","ae09",-1.04083408558608e-17,-0.02,0.0153333333333333,NA
"10","ae10",0.0483333333333333,0.02,-0.00833333333333333,0.0375
"11","ae11",0.075,0.0283333333333333,0.0863333333333333,NA
"12","ae12",0.101666666666667,0.04,0.0506666666666667,0.0808333333333333
"13","ae13",-0.178333333333333,-0.19,-0.250333333333333,0.160833333333333
"14","ae14",-0.0283333333333334,-0.0566666666666667,NA,NA
"15","ae15",-0.206666666666667,-0.0666666666666667,-0.162666666666667,NA
"16","ae16",-0.0283333333333333,-0.0266666666666667,-0.018,NA
"17","ae17",0.0883333333333333,0.0283333333333333,-0.024,0.148333333333333
"18","ae18",0.005,-0.0216666666666667,-0.164666666666667,0.0408333333333333
"19","ae19",0.125,0.03,-0.493,-0.299166666666667
"20","ae20",0.085,NA,0.154,0.1475
"21","ae21",0.07,0.0566666666666667,0.00533333333333334,0.0908333333333333
"22","ae22",0.0366666666666667,NA,-0.0743333333333333,0.04
"23","ae23",0.00999999999999999,0.0966666666666667,0.0106666666666667,0.224166666666667
"24","ae24",0.12,0.123333333333333,NA,0.1675
"25","ae25",-0.0933333333333333,-0.13,-0.15,0.166666666666667
"26","ae26",0.02,-0.075,-0.101666666666667,0.045
"27","ae27",0.0433333333333333,NA,-0.108,-0.0166666666666667
"28","ae28",0.0133333333333333,0.075,NA,NA
"29","ae29",0.0433333333333333,-0.00500000000000001,NA,NA
"30","ae30",-0.01,-0.0416666666666667,-0.00766666666666667,0.104166666666667
"31","ae31",0.0683333333333333,0.0283333333333333,0.048,0.0783333333333333
"32","ae32",-0.00500000000000001,NA,0.24,0.00416666666666665
"33","am01",0.00333333333333332,-0.121666666666667,-0.163,NA
"34","am02",0.045,0.171666666666667,0.221666666666667,0.1825
"35","am03",-0.0733333333333333,-0.0233333333333333,-0.182333333333333,-0.0375
"36","am04",-0.0183333333333334,-0.0183333333333334,-0.137333333333333,NA
"37","am05",-0.118333333333333,NA,-0.114,-0.0525
"38","am06",0.0566666666666667,NA,NA,NA
"39","am07",-0.055,-0.02,-0.114,0.0466666666666667
"40","am08",-0.0933333333333333,NA,0.0936666666666667,NA
"41","am09",-0.208333333333333,NA,NA,-0.166666666666667
"42","am10",0.015,0.12,-0.112666666666667,-0.0166666666666666
"43","am11",0.00499999999999999,0.0133333333333333,0.186,0.145833333333333
"44","am12",0.0233333333333333,-8.3314160691933e-18,-0.098,NA
"45","am13",-0.0183333333333333,-0.03,-0.0116666666666667,NA
"46","am14",-0.0716666666666667,-0.116666666666667,NA,0.0475
"47","am15",-0.136666666666667,-0.095,-0.275,-0.130833333333333
"48","am16",-0.0983333333333334,NA,-0.100333333333333,NA
"49","am17",-0.113333333333333,-0.0466666666666667,-0.016,0.109166666666667
"50","am18",0.06,0.04,-0.024,0.0425
"51","am19",0.0166666666666667,-0.0116666666666667,NA,NA
"52","am20",0.0183333333333333,-0.115,-0.199666666666667,-0.271666666666667
"53","am21",-0.00333333333333336,-0.0866666666666667,-0.061,0.0283333333333333
