"","participant","condition","mean_dev"
"1","aes01","spondee",0.0233333333333333
"2","aes01","stressed_spondee",0.0133333333333333
"3","aes01","trochee",0.0037037037037037
"4","aes01","unpredictable",-0.0483333333333333
"5","aes02","spondee",-0.00740740740740742
"6","aes02","stressed_spondee",-0.00500000000000001
"7","aes02","trochee",-0.156111111111111
"8","aes02","unpredictable",-0.0958333333333334
"9","aes03","spondee",0.0638888888888889
"10","aes03","stressed_spondee",0.04
"11","aes03","trochee",0.0511111111111111
"12","aes03","unpredictable",-0.341666666666667
"13","aes04","spondee",0.0183333333333333
"14","aes04","stressed_spondee",0.045
"15","aes04","trochee",-0.012
"16","aes04","unpredictable",-0.0277777777777778
"17","aes05","spondee",0.00166666666666666
"18","aes05","stressed_spondee",-0.07
"19","aes05","trochee",-0.271666666666667
"20","aes05","unpredictable",-0.4
"21","aes06","spondee",0.0183333333333333
"22","aes06","stressed_spondee",-0.0625
"23","aes06","trochee",-0.266
"24","aes06","unpredictable",-0.238095238095238
"25","aes07","spondee",0.0216666666666667
"26","aes07","stressed_spondee",-0.0433333333333333
"27","aes07","trochee",-0.0674074074074074
"28","aes07","unpredictable",-0.105555555555556
"29","aes08","spondee",-0.237037037037037
"30","aes08","stressed_spondee",-0.203333333333333
"31","aes08","trochee",-0.357407407407407
"32","aes08","unpredictable",-0.143055555555555
"33","aes09","spondee",-1.04083408558608e-17
"34","aes09","stressed_spondee",-0.02
"35","aes09","trochee",-0.159333333333333
"36","aes09","unpredictable",-0.119444444444444
"37","aes10","spondee",0.0333333333333333
"38","aes10","stressed_spondee",0.02
"39","aes10","trochee",-0.102380952380952
"40","aes10","unpredictable",0.00312500000000001
"41","aes11","spondee",0.0518518518518519
"42","aes11","stressed_spondee",0.0283333333333333
"43","aes11","trochee",-0.0506666666666667
"44","aes11","unpredictable",0.125
"45","aes12","spondee",0.0233333333333333
"46","aes12","stressed_spondee",0.0166666666666667
"47","aes12","trochee",-0.0544444444444444
"48","aes12","unpredictable",-0.151666666666667
"49","aes13","spondee",-0.178333333333333
"50","aes13","stressed_spondee",-0.19
"51","aes13","trochee",-0.250333333333333
"52","aes13","unpredictable",0.115
"53","aes14","spondee",-0.0283333333333334
"54","aes14","stressed_spondee",-0.0566666666666667
"55","aes14","trochee",-0.0474074074074074
"56","aes14","unpredictable",-0.264285714285714
"57","aes15","spondee",-0.206666666666667
"58","aes15","stressed_spondee",-0.0666666666666667
"59","aes15","trochee",-0.212222222222222
"60","aes15","unpredictable",-0.251388888888889
"61","aes16","spondee",-0.0283333333333333
