"","participant","spondee","stressed_spondee","trochee","unpredictable"
"1","aes01",0.0233333333333333,0.0133333333333333,0.0037037037037037,-0.0483333333333333
"2","aes02",-0.00740740740740742,-0.00500000000000001,-0.156111111111111,-0.0958333333333334
"3","aes03",0.0638888888888889,0.04,0.0511111111111111,-0.341666666666667
"4","aes04",0.0183333333333333,0.045,-0.012,-0.0277777777777778
"5","aes05",0.00166666666666666,-0.07,-0.271666666666667,-0.4
"6","aes06",0.0183333333333333,-0.0625,-0.266,-0.238095238095238
"7","aes07",0.0216666666666667,-0.0433333333333333,-0.0674074074074074,-0.105555555555556
"8","aes08",-0.237037037037037,-0.203333333333333,-0.357407407407407,-0.143055555555555
"9","aes09",-1.04083408558608e-17,-0.02,-0.159333333333333,-0.119444444444444
"10","aes10",0.0333333333333333,0.02,-0.102380952380952,0.00312500000000001
"11","aes11",0.0518518518518519,0.0283333333333333,-0.0506666666666667,0.125
"12","aes12",0.0233333333333333,0.0166666666666667,-0.0544444444444444,-0.151666666666667
"13","aes13",-0.178333333333333,-0.19,-0.250333333333333,0.115
"14","aes14",-0.0283333333333334,-0.0566666666666667,-0.0474074074074074,-0.264285714285714
"15","aes15",-0.206666666666667,-0.0666666666666667,-0.212222222222222,-0.251388888888889
"16","aes16",-0.0283333333333333,-0.0266666666666667,-0.018,-0.145
"17","aes17",0.0452380952380952,0.00925925925925925,-0.07375,-0.0116666666666666
"18","aes18",0.005,-0.0895833333333333,-0.344761904761905,-0.128333333333333
"19","aes19",-0.0125,0.0166666666666667,-0.571851851851852,-0.299166666666667
"20","aes20",0.0523809523809524,0.0537037037037037,-0.0775,-0.0541666666666667
"21","aes21",0.0574074074074074,-0.00714285714285716,-0.0255555555555556,-0.13125
"22","aes22",0.0366666666666667,0.0666666666666667,-0.155416666666667,-0.19375
"23","aes23",0.00999999999999999,0.0583333333333333,-0.00666666666666666,-0.0875000000000001
"24","aes24",0.06,0.0666666666666667,-0.0183333333333333,0.0694444444444445
"25","aes25",-0.0933333333333333,-0.166666666666667,-0.247916666666667,-0.129166666666667
"26","aes26",0.02,-0.1,-0.101666666666667,-0.0380952380952381
"27","aes27",0.0314814814814815,-0.0261904761904762,-0.199583333333333,-0.145238095238095
"28","aes28",0.0133333333333333,0.0125,-0.000740740740740748,-0.0952380952380952
"29","aes29",0.0433333333333333,-0.00500000000000001,-0.0633333333333333,0.09375
"30","aes30",-0.01,-0.0416666666666667,-0.0251851851851852,-0.238888888888889
"31","aes31",0.0683333333333333,-0.0104166666666667,-0.0266666666666667,0.00595238095238094
"32","aes32",-0.080952380952381,0.05,0.0888888888888889,-0.193333333333333
"33","ams01",0.00333333333333332,-0.121666666666667,-0.163,-0.3
"34","ams02",0.00624999999999999,0.0166666666666667,-0.0666666666666667,-0.558333333333333
"35","ams03",-0.1,-0.0233333333333333,-0.315416666666667,-0.251388888888889
"36","ams04",-0.0183333333333334,-0.0183333333333334,-0.137333333333333,-0.0683333333333333
"37","ams05",-0.118333333333333,-0.1,-0.114,-0.0525
"38","ams06",-0.04375,0.019047619047619,-0.0533333333333333,-0.0208333333333333
"39","ams07",-0.055,-0.0648148148148148,-0.114,0.0135416666666667
"40","ams08",-0.142592592592593,-0.075,-0.146,0.0625
"41","ams09",-0.208333333333333,-0.2,-0.0814814814814815,-0.166666666666667
"42","ams10",-3.46944695195361e-18,0.0125,-0.149259259259259,-0.204166666666667
"43","ams11",-0.0583333333333333,-0.0541666666666667,-0.07,-0.0291666666666667
"44","ams12",0.00925925925925924,-0.0407407407407407,-0.226666666666667,-0.196428571428571
"45","ams13",-0.0183333333333333,-0.03,-0.0116666666666667,-0.156944444444444
"46","ams14",-0.103703703703704,-0.161111111111111,-0.135333333333333,-0.15
"47","ams15",-0.136666666666667,-0.162962962962963,-0.389583333333333,-0.236458333333333
"48","ams16",-0.0983333333333334,-0.131481481481481,-0.100333333333333,-0.0697916666666666
"49","ams17",-0.113333333333333,-0.0466666666666667,-0.12047619047619,-0.194444444444445
"50","ams18",0.06,0.0259259259259259,-0.024,-0.0452380952380952
"51","ams19",0.0166666666666667,-0.0116666666666667,-0.181481481481481,-0.258333333333333
"52","ams20",-0.144444444444444,-0.115,-0.326666666666667,-0.404166666666667
"53","ams21",-0.00333333333333336,-0.0866666666666667,-0.061,-0.155952380952381
"54","ams22",0.0240740740740741,-0.035,-0.0977777777777778,-0.237962962962963
"55","ams23",-0.0766666666666667,-0.105,-0.082,-0.00666666666666666
"56","ams24",-0.359259259259259,-0.427083333333333,-0.313,-0.389583333333333
"57","ams25",0.062962962962963,0.0133333333333333,-0.00740740740740741,-0.138333333333333
"58","ams26",-0.166666666666667,-0.0283333333333333,-0.185833333333333,-0.172619047619048
"59","ams27",0.0722222222222222,0.0333333333333333,-0.183333333333333,-0.111666666666667
"60","ams28",-0.0203703703703704,-0.0407407407407408,-0.0943333333333333,-0.188888888888889
"61","ams29",0.00999999999999999,-0.00333333333333335,-0.0159259259259259,-0.0666666666666667
"62","ams30",-0.0883333333333333,-0.07,-0.172380952380952,-0.0916666666666667
"63","ams31",0.0733333333333333,0.0770833333333333,-0.105833333333333,-0.179166666666667
"64","ams32",-0.025,-0.0583333333333333,-0.150833333333333,-0.29
"65","ies01",0.0925925925925926,0.062962962962963,-0.0385714285714286,0.0416666666666666
"66","ies02",-0.06,0.00833333333333334,-0.164285714285714,-0.410416666666667
"67","ies03",0.0266666666666667,0.0555555555555555,-0.0688888888888889,-0.343333333333333
"68","ies04",-0.00833333333333333,-0.0571428571428572,-0.176111111111111,-0.0648148148148148
