,subject_id,date,lang,level,sequence,response,time,correct
0,am07,2020/02/15 18:45:00,ch,3,"9, 10, 15","9, 10, 15",3.8469651589985006,1
1,am07,2020/02/15 18:45:00,ch,3,"0, 10, 7","0, 10, 7",3.9976352030062117,1
2,am07,2020/02/15 18:45:00,ch,3,"2, 4, 10","2, 4, 10",2.914792590017896,1
3,am07,2020/02/15 18:45:00,ch,4,"8, 5, 2, 6","8, 5, 2, 6",3.6977882930077612,1
4,am07,2020/02/15 18:45:00,ch,4,"3, 11, 0, 2","3, 11, 0, 2",3.632772842014674,1
5,am07,2020/02/15 18:45:00,ch,4,"10, 13, 0, 1","10, 13, 0, 1",2.9465869709965773,1
6,am07,2020/02/15 18:45:00,ch,5,"3, 0, 7, 1, 5","3, 0, 7, 1, 5",5.531962888024282,1
7,am07,2020/02/15 18:45:00,ch,5,"14, 13, 9, 12, 10","14, 13, 9, 12, 10",3.49787538201781,1
8,am07,2020/02/15 18:45:00,ch,5,"14, 13, 7, 5, 4","13, 14, 7, 5, 4",3.431877730996348,0
9,am07,2020/02/15 18:45:00,ch,6,"6, 10, 2, 13, 15, 3","6, 10, 2, 13, 15, 3",4.564159350993577,1
10,am07,2020/02/15 18:45:00,ch,6,"11, 1, 5, 14, 13, 4","11, 1, 5, 14, 13, 4",4.4142893140087835,1
11,am07,2020/02/15 18:45:00,ch,6,"3, 11, 13, 2, 8, 4","3, 11, 2, 13, 10, 4",4.6636842089938,0
12,am07,2020/02/15 18:45:00,ch,7,"6, 13, 14, 0, 2, 12, 11","6, 14, 13, 12, 11, 0, 2",5.931095143954735,0
13,am07,2020/02/15 18:45:00,ch,7,"6, 2, 5, 9, 7, 8, 3","2, 6, 5, 9, 7, 8, 3",5.447545316012111,0
14,am07,2020/02/15 18:45:00,ch,7,"10, 14, 8, 12, 5, 13, 2","10, 14, 8, 12, 9, 13, 2",4.6313058829982765,0
15,am07,2020/02/15 18:45:00,ch,8,"9, 15, 13, 12, 2, 1, 14, 8","9, 10, 15, 12, 2, 1, 14, 8",5.28144551202422,0
16,am07,2020/02/15 18:45:00,ch,8,"5, 10, 6, 4, 13, 15, 8, 11","5, 6, 10, 13, 12, 14, 15, 4",7.531300772971008,0
17,am07,2020/02/15 18:45:00,ch,8,"1, 12, 7, 15, 5, 8, 13, 2","1, 12, 7, 15, 5, 8, 4, 2",8.364950054034125,0
18,am07,2020/02/15 18:45:00,ch,9,"10, 9, 0, 1, 13, 15, 6, 8, 7","9, 10, 0, 1, 13, 15, 4, 8, 3",7.11432703997707,0
19,am07,2020/02/15 18:45:00,ch,9,"3, 1, 9, 12, 15, 14, 7, 6, 10","3, 1, 13, 12, 14, 15, 11, 7, 10",9.22962360800011,0
20,am07,2020/02/15 18:45:00,ch,9,"14, 13, 0, 1, 8, 2, 9, 6, 5","13, 14, 0, 1, 9, 10, 6, 8, 2",11.52907900698483,0
