,subject_id,date,lang,level,sequence,response,time,correct
0,ie05,2020/01/28 16:57:22,en,3,"6, 13, 4","6, 13, 4",1.8485755669971695,1
1,ie05,2020/01/28 16:57:22,en,3,"9, 2, 14","9, 2, 15",2.01440819700656,0
2,ie05,2020/01/28 16:57:22,en,3,"7, 8, 9","7, 8, 9",1.9316172109975014,1
3,ie05,2020/01/28 16:57:22,en,4,"14, 7, 3, 13","14, 7, 3, 13",2.5657552030024817,1
4,ie05,2020/01/28 16:57:22,en,4,"5, 11, 12, 2","5, 11, 12, 2",3.047904955994454,1
5,ie05,2020/01/28 16:57:22,en,4,"12, 15, 11, 7","12, 15, 11, 7",3.1976092740078457,1
6,ie05,2020/01/28 16:57:22,en,5,"10, 3, 1, 14, 11","10, 3, 1, 14, 11",3.482516117001069,1
7,ie05,2020/01/28 16:57:22,en,5,"7, 14, 3, 8, 1","7, 14, 5, 3, 4",3.197833856989746,0
8,ie05,2020/01/28 16:57:22,en,5,"6, 14, 3, 13, 7","6, 14, 7, 13, 3",3.081079680006951,0
9,ie05,2020/01/28 16:57:22,en,6,"14, 11, 15, 3, 0, 10","14, 11, 15, 3, 0, 10",3.897031332991901,1
10,ie05,2020/01/28 16:57:22,en,6,"0, 9, 11, 8, 1, 3","0, 10, 8, 11, 6, 3",5.297698233000119,0
11,ie05,2020/01/28 16:57:22,en,6,"11, 7, 10, 9, 5, 2","7, 11, 10, 9, 5, 2",3.0976152020011796,0
12,ie05,2020/01/28 16:57:22,en,7,"9, 2, 8, 7, 14, 13, 0","9, 2, 8, 11, 14, 7, 1",5.381054673998733,0
13,ie05,2020/01/28 16:57:22,en,7,"10, 3, 11, 7, 9, 0, 4","10, 7, 11, 3, 13, 9, 4",4.597856434993446,0
14,ie05,2020/01/28 16:57:22,en,7,"5, 14, 11, 13, 2, 10, 15","5, 11, 14, 13, 2, 10, 15",5.097600644992781,0
15,ie05,2020/01/28 16:57:22,en,8,"2, 10, 9, 3, 7, 4, 5, 6","2, 10, 9, 7, 11, 4, 5, 6",4.73025282099843,0
16,ie05,2020/01/28 16:57:22,en,8,"11, 4, 3, 9, 5, 0, 12, 2","11, 4, 3, 10, 9, 2, 13, 8",5.630730734003009,0
17,ie05,2020/01/28 16:57:22,en,8,"5, 7, 13, 4, 14, 1, 6, 15","5, 7, 14, 4, 1, 6, 10, 15",5.098418225999922,0
18,ie05,2020/01/28 16:57:22,en,9,"5, 3, 7, 0, 9, 11, 1, 13, 2","5, 3, 11, 9, 0, 13, 14, 2, 7",5.548282189993188,0
19,ie05,2020/01/28 16:57:22,en,9,"2, 8, 7, 3, 4, 1, 9, 10, 6","1, 8, 9, 7, 4, 14, 11, 5, 2",5.130623999997624,0
20,ie05,2020/01/28 16:57:22,en,9,"11, 0, 2, 13, 1, 6, 3, 4, 12","11, 4, 3, 8, 15, 0, 2, 12, 10",7.614639859995805,0
