,subject_id,date,lang,level,sequence,response,time,correct
0,im06,2020/02/17 13:29:07,ch,3,"4, 15, 7","4, 15, 7",2.897928571968805,1
1,im06,2020/02/17 13:29:07,ch,3,"2, 3, 5","2, 3, 5",2.898394023999572,1
2,im06,2020/02/17 13:29:07,ch,3,"12, 5, 14","12, 5, 14",2.981026512978133,1
3,im06,2020/02/17 13:29:07,ch,4,"0, 7, 13, 14","0, 7, 9, 13",3.1317908429773524,0
4,im06,2020/02/17 13:29:07,ch,4,"12, 2, 9, 11","12, 2, 9, 11",3.46351276000496,1
5,im06,2020/02/17 13:29:07,ch,4,"4, 14, 10, 0","4, 14, 10, 0",3.648032470024191,1
6,im06,2020/02/17 13:29:07,ch,5,"11, 10, 5, 2, 6","11, 10, 5, 2, 6",3.298681187967304,1
7,im06,2020/02/17 13:29:07,ch,5,"7, 14, 9, 12, 13","7, 14, 9, 12, 13",3.5303956489660777,1
8,im06,2020/02/17 13:29:07,ch,5,"1, 5, 11, 3, 6","1, 5, 11, 3, 6",3.997606804012321,1
9,im06,2020/02/17 13:29:07,ch,6,"1, 8, 14, 6, 11, 15","1, 8, 14, 9, 6, 11",4.181254488998093,0
10,im06,2020/02/17 13:29:07,ch,6,"7, 3, 12, 0, 6, 15","7, 3, 12, 0, 10, 15",7.763575071992818,0
11,im06,2020/02/17 13:29:07,ch,6,"4, 11, 1, 14, 9, 5","4, 11, 2, 14, 13, 9",4.397696280037053,0
12,im06,2020/02/17 13:29:07,ch,7,"13, 4, 8, 14, 2, 6, 0","4, 13, 8, 10, 14, 0, 1",7.564016226038802,0
13,im06,2020/02/17 13:29:07,ch,7,"14, 3, 11, 12, 4, 13, 6","14, 3, 11, 12, 4, 10, 9",5.647306662984192,0
14,im06,2020/02/17 13:29:07,ch,7,"13, 10, 7, 1, 14, 0, 15","13, 10, 7, 2, 9, 0, 15",7.8302875210065395,0
15,im06,2020/02/17 13:29:07,ch,8,"12, 6, 5, 8, 0, 14, 10, 7","12, 6, 5, 8, 0, 14, 7, 10",8.831145567994099,0
16,im06,2020/02/17 13:29:07,ch,8,"11, 2, 1, 4, 13, 3, 6, 14","11, 2, 5, 4, 13, 3, 10, 9",7.6135882119997405,0
17,im06,2020/02/17 13:29:07,ch,8,"1, 4, 10, 5, 6, 15, 0, 14","1, 4, 10, 5, 6, 15, 14, 0",7.329672260966618,0
18,im06,2020/02/17 13:29:07,ch,9,"3, 6, 13, 1, 8, 11, 14, 4, 2","3, 9, 13, 4, 11, 8, 1, 15, 14",12.229688266001176,0
19,im06,2020/02/17 13:29:07,ch,9,"15, 6, 9, 3, 14, 4, 10, 1, 8","15, 6, 9, 14, 3, 0, 8, 11, 5",15.97934423602419,0
20,im06,2020/02/17 13:29:07,ch,9,"12, 5, 10, 6, 9, 2, 4, 13, 11","12, 5, 10, 6, 9, 0, 8, 13, 11",6.630835539952386,0
